Advent of Code 2024
including 855 x 89
including 587 x 594
including 156 x 269
including 253 x 48
including 439 x 325
including 957 x 103
including 199 x 630
including 632 x 932
Found don't. incl now=False
skipping 924 x 669
skipping 691 x 638
skipping 432 x 319
skipping 682 x 628
skipping 103 x 731
skipping 577 x 898
Found don't. incl now=False
skipping 703 x 89
skipping 991 x 496
skipping 85 x 478
skipping 809 x 637
skipping 353 x 425
skipping 999 x 285
skipping 946 x 404
skipping 709 x 983
skipping 278 x 204
skipping 948 x 388
skipping 128 x 610
skipping 752 x 530
skipping 634 x 137
Found don't. incl now=False
skipping 486 x 916
skipping 322 x 302
skipping 773 x 589
skipping 461 x 456
Found do. incl now=True
including 356 x 968
including 961 x 828
including 765 x 321
including 642 x 428
including 78 x 233
including 802 x 766
including 674 x 430
including 187 x 741
including 442 x 143
including 754 x 355
including 952 x 528
including 747 x 103
including 43 x 706
including 311 x 896
including 761 x 566
including 713 x 786
including 763 x 306
including 854 x 759
including 451 x 677
including 688 x 574
including 680 x 919
including 422 x 657
including 401 x 912
including 262 x 821
including 469 x 992
including 562 x 853
including 596 x 121
including 414 x 217
including 963 x 916
including 698 x 955
including 887 x 587
including 664 x 770
Found do. incl now=True
including 375 x 153
including 189 x 464
including 260 x 699
including 655 x 375
Found do. incl now=True
including 79 x 366
including 594 x 21
including 184 x 709
including 538 x 963
including 638 x 808
including 865 x 350
including 437 x 972
including 953 x 93
including 920 x 599
including 851 x 522
including 81 x 578
including 269 x 16
including 990 x 699
including 169 x 956
including 236 x 175
including 560 x 233
including 667 x 378
including 744 x 229
Found do. incl now=True
including 613 x 151
including 324 x 709
including 504 x 448
including 623 x 742
including 447 x 481
including 546 x 493
including 75 x 277
including 339 x 191
including 460 x 916
including 169 x 866
including 838 x 989
including 888 x 490
including 167 x 932
Found don't. incl now=False
skipping 655 x 210
skipping 402 x 964
skipping 384 x 443
skipping 715 x 435
skipping 683 x 756
skipping 349 x 78
skipping 249 x 887
skipping 370 x 349
skipping 831 x 598
skipping 540 x 233
skipping 680 x 821
skipping 489 x 918
skipping 965 x 528
skipping 89 x 614
skipping 715 x 140
Found don't. incl now=False
skipping 846 x 294
skipping 382 x 709
skipping 27 x 363
skipping 620 x 721
Found do. incl now=True
including 729 x 333
including 822 x 111
including 984 x 174
including 126 x 855
including 347 x 402
including 542 x 243
Found do. incl now=True
including 585 x 736
including 930 x 849
including 750 x 188
including 76 x 528
including 474 x 368
including 168 x 683
including 857 x 78
including 776 x 53
including 920 x 130
Found do. incl now=True
including 329 x 472
including 507 x 107
including 539 x 64
including 716 x 635
including 68 x 519
including 891 x 188
including 985 x 567
including 429 x 918
Found do. incl now=True
including 285 x 28
including 266 x 918
Found do. incl now=True
including 729 x 683
Found don't. incl now=False
skipping 763 x 38
skipping 463 x 408
skipping 754 x 541
skipping 478 x 223
skipping 117 x 79
Found don't. incl now=False
skipping 313 x 169
skipping 463 x 421
Found don't. incl now=False
skipping 151 x 326
skipping 522 x 433
skipping 231 x 945
skipping 571 x 46
skipping 303 x 851
skipping 89 x 727
skipping 47 x 283
skipping 702 x 203
Found don't. incl now=False
skipping 825 x 51
skipping 807 x 747
Found do. incl now=True
including 142 x 121
including 988 x 728
including 644 x 517
including 529 x 314
including 952 x 786
including 503 x 655
including 317 x 344
including 367 x 12
including 84 x 895
dos = 23
don'ts = 36
Part Two: 58055567
Time elapsed 8ms
